α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.4100 +/- 4.01e-5],-347a39821c04180e560418937 -63 29f16b15 -2d,0.750000000000000000000000000000,3 -2 0 0,true,true,true,[0.885 +/- 5.15e-4],71398a11 -1f 15ced801 -2a,0.884651651606192,[+/- 2.94e-4],9d6b4fd1cc9801788337be69f -70 12bc9677 -29,0.000293076089849319,[0.94 +/- 1.81e-3],f0c6aff801 -28 29d7fe0b -27,[0.967796243145130574703216552734 +/- 3.75e-31],1ef82fd3b -21 0 0,0.967796243145131,0.03147849,0.582753118,5.302194804,141.551800268,4,16,0.027236789,100
[-0.4099 +/- 6.01e-5],-d1e3a7db0da1c8ac083126e97 -65 29f16b15 -2d,0.750000000000000000000000000000,3 -2 0 0,true,true,true,[0.885 +/- 5.01e-4],713a051b -1f 15cf4801 -2a,0.884666325524677,[+/- 2.94e-4],9d6d179fde789c9cac6277d07 -70 2579b16f -2a,0.000293090435426907,[0.94 +/- 1.82e-3],f0c6dc9a01 -28 29d99f0b -27,[0.967795187898445874452590942383 +/- 1.88e-31],3df05b3a5 -22 0 0,0.967795187898446,0.030946169,0.578616687,5.246113555,139.471312552,4,16,0.027668718,100
[-0.4099 +/- 2.01e-5],-d1de69adab33311eb851eb851 -65 14f8b58b -2c,0.750000000000000000000000000000,3 -2 0 0,true,true,true,[0.8846 +/- 8.55e-5],713a8029 -1f 15cfb801 -2a,0.884681001305808,[+/- 2.94e-4],4eb76fc8287736653d55f139 -6b 12bd1b03 -29,0.000293104787960837,[0.94 +/- 1.82e-3],f0c7093c01 -28 29db460b -27,[0.967794132244307547807693481445 +/- 3.13e-31],3df056ccd -22 0 0,0.967794132244308,0.032701371,0.576413184,5.428122728,142.135422416,4,16,0.029114413,100
[-0.4099 +/- 6.01e-5],-34764ae0123126645a1cac083 -63 29f16b15 -2d,0.750000000000000000000000000000,3 -2 0 0,true,true,true,[0.885 +/- 4.71e-4],1c4ebecf -1d 15d02001 -2a,0.884695678949584,[+/- 2.94e-4],9d709f922cdcdf7cbcc818b59 -70 257ab8b -26,0.000293118912973981,[0.94 +/- 1.82e-3],f0c735da01 -28 29dceb0b -27,[0.967793089046608656644821166992 +/- 1.88e-31],3df0526cb -22 0 0,0.967793089046609,0.031012816,0.568375858,5.463415568,141.545629167,4,16,0.0271903,100
[-0.4098 +/- 4.01e-5],-68e9f6a9732b01020c49ba5e3 -64 29f16b15 -2d,0.750000000000000000000000000000,3 -2 0 0,true,true,true,[0.885 +/- 4.57e-4],713b764f -1f 15d09801 -2a,0.884710357524682,[+/- 2.94e-4],275c9be38eb62137d0dd7d46b -6e 257b3f65 -2a,0.000293133505819576,[0.94 +/- 1.83e-3],f0c7627e01 -28 29de8d0b -27,0.967792020179331302642822265625,3df04df1 -1e 0 0,0.967792020179332,0.032464872,0.593428911,5.316988855,143.908592793,4,16,0.028190659,100
[-0.4098 +/- 4.01e-5],-1a39d5e4b07ced4ed916872b -5e 14f8b58b -2c,0.750000000000000000000000000000,3 -2 0 0,true,true,true,[0.885 +/- 4.42e-4],713bf169 -1f 15d10801 -2a,0.884725038893749,[+/- 2.94e-4],9d742fc18975394c2a11e55d7 -70 95ef08d -28,0.000293147642056337,[0.94 +/- 1.83e-3],f0c78f2201 -28 29e0350b -27,[0.967790976341348141431808471680 +/- 3.13e-31],3df049903 -22 0 0,0.967790976341349,0.030910652,0.597436298,5.267434806,139.066231348,4,16,0.026662208,100
[-0.4097 +/- 6.01e-5],-d1c970f82178d2e978d4fdf3b -65 29f16b15 -2d,0.750000000000000000000000000000,3 -2 0 0,true,true,true,[0.885 +/- 4.27e-4],1c4f1b21 -1d 15d17001 -2a,0.884739720262815,[+/- 2.94e-4],9d7600002edae7ded775a2511 -70 95f1245 -28,0.000293162248464286,[0.94 +/- 1.83e-3],f0c7bbc801 -28 29e1da0b -27,[0.967789906659163534641265869141 +/- 3.75e-31],1ef82289d -21 0 0,0.967789906659164,0.03187943,0.60443334,5.435155207,143.335629203,4,16,0.027333101,100
[-0.4097 +/- 2.01e-5],-d1c432cabf0a3b5c28f5c28f5 -65 29f16b15 -2d,0.750000000000000000000000000000,3 -2 0 0,true,true,true,[0.885 +/- 4.13e-4],389e73d1 -1e 15d1e001 -2a,0.884754403494526,[+/- 2.94e-4],9d77c03dbba8c68927a40a933 -70 257ccc03 -2a,0.000293176392559249,[0.94 +/- 1.83e-3],f0c7e87201 -28 29e37b0b -27,[0.967788862355519086122512817383 +/- 1.88e-31],3df040b25 -22 0 0,0.96778886235552,0.031258652,0.561662285,5.390742898,139.657268861,4,16,0.026643692,100
[-0.4097 +/- 6.01e-5],-d1bef49d5c9ba3ced916872af -65 14f8b58b -2c,0.750000000000000000000000000000,3 -2 0 0,true,true,true,[0.885 +/- 3.98e-4],389eb161 -1e 15d25001 -2a,0.88476908765756,[+/- 2.94e-4],9d7988adfe78eb3dffa4d9b65 -70 257d5109 -2a,0.000293190777597035,[0.94 +/- 1.84e-3],f0c8151e01 -28 29e5210b -27,[0.967787804838735610246658325195 +/- 3.13e-31],3df03c42d -22 0 0,0.967787804838736,0.032459502,0.5951827,5.357170183,143.978419213,4,16,0.027430286,100
[-0.4096 +/- 4.01e-5],-68dcdb37fd168620c49ba5e35 -64 29f16b15 -2d,0.750000000000000000000000000000,3 -2 0 0,true,true,true,[0.8847 +/- 8.38e-5],e27bbbd -1c 15d2c001 -2a,0.884783774614562,[+/- 2.94e-4],4ebda882096c8a9b0a562d79f -6f 257dd619 -2a,0.000293205163420318,[0.94 +/- 1.84e-3],f0c841c201 -28 29e6c70b -27,[0.967786747263744473457336425781 +/- 2.50e-31],f7c0df4d -20 0 0,0.967786747263745,0.032241228,0.59605645,5.292744957,141.149697934,4,16,0.026438473,100
